genre,mood,energy,tempo_bpm,title,artist,era
pop,happy,0.90,171,Blinding Lights,The Weeknd,2020s
pop,happy,0.95,160,Shake It Off,Taylor Swift,2010s
rock,angry,0.95,116,Smells Like Teen Spirit,Nirvana,1990s
rock,melancholic,0.50,72,Bohemian Rhapsody,Queen,1980s
indie,angry,0.88,145,Reptilia,The Strokes,2000s
indie,melancholic,0.20,68,Skinny Love,Bon Iver,2000s
hiphop,angry,0.95,171,Lose Yourself,Eminem,2000s
hiphop,happy,0.60,96,Juicy,The Notorious B.I.G.,1990s
edm,happy,0.90,123,One More Time,Daft Punk,2000s
edm,chill,0.50,128,Strobe,Deadmau5,2000s
jazz,chill,0.40,174,Take Five,Dave Brubeck,2010s
jazz,melancholic,0.35,130,So What,Miles Davis,2010s
rnb,happy,0.60,100,No Scrubs,TLC,1990s
rnb,romantic,0.55,67,Earned It,The Weeknd,2010s
pop,romantic,0.92,117,Billie Jean,Michael Jackson,1980s
pop,sad,0.22,68,Someone Like You,Adele,2010s
hiphop,happy,0.93,150,California Love,2Pac,1990s
indie,chill,0.80,105,Midnight City,M83,2010s
indie,angry,0.55,135,Bad Guy,Billie Eilish,2010s
pop,happy,0.97,115,Uptown Funk,Bruno Mars,2010s